,year,actual,synthetic,effect,park_code
333,2023,154.7109121612566,110.5868099997083,44.12410216154831,HOSP
334,2024,174.30307985096633,111.21557722956396,63.087502621402365,HOSP
335,2025,177.02810464524083,114.89982914556343,62.1282754996774,HOSP
336,2010,100.0,100.00000126430466,-1.2643046574112304e-06,INDU
337,2011,85.71481872070844,86.2300988210841,-0.5152801003756622,INDU
338,2012,80.19782152660653,82.31709340638793,-2.119271879781394,INDU
339,2013,81.56818103943867,85.20970104883229,-3.6415200093936164,INDU
340,2014,68.46414199291101,78.99182203486605,-10.527680041955037,INDU
341,2015,73.7227072157648,80.97789883463751,-7.255191618872715,INDU
342,2016,72.38211991883074,87.47574240182007,-15.093622482989332,INDU
343,2017,109.31443952471056,90.63573908660014,18.678700438110425,INDU
344,2018,78.65248361957046,88.3998600416463,-9.747376422075845,INDU
345,2019,95.09337130369563,91.25159545523783,3.8417758484578,INDU
346,2020,105.39790833050967,56.801776297599446,48.59613203291022,INDU
347,2021,129.05547454703972,95.52663781310744,33.52883673393228,INDU
348,2022,133.70062552110895,84.5521374961133,49.14848802499564,INDU
349,2023,129.9790985338516,88.71262552383628,41.26647301001533,INDU
350,2024,118.613193431838,86.74705663221941,31.866136799618587,INDU
351,2025,114.4092194882377,88.64153067599382,25.767688812243875,INDU
352,2010,100.0,100.00002581321827,-2.5813218272219274e-05,JEFF
353,2011,92.92768669352445,95.2858637744811,-2.3581770809566507,JEFF
354,2012,101.42255684869943,74.27179552891779,27.150761319781637,JEFF
355,2013,102.17007484734677,82.65694792688123,19.513126920465538,JEFF
356,2014,66.06064907739231,77.78564830288717,-11.724999225494855,JEFF
357,2015,60.832186201799146,80.84059777091238,-20.008411569113235,JEFF
358,2016,52.28585721607727,83.36058228043822,-31.074725064360955,JEFF
359,2017,52.58928687206065,81.221200844841,-28.631913972780346,JEFF
360,2018,84.86639472198924,85.33935049233186,-0.4729557703426224,JEFF
361,2019,83.04240439679535,79.9892410965601,3.053163300235255,JEFF
362,2020,10.128585653359941,53.95192867570611,-43.823343022346165,JEFF
363,2021,46.28080278505565,102.70600116459357,-56.425198379537925,JEFF
364,2022,66.05798741374332,81.18434938855502,-15.1263619748117,JEFF
365,2023,80.93395730009028,84.41790787060425,-3.4839505705139686,JEFF
366,2024,90.36921369678464,83.2407828045644,7.128430892220237,JEFF
367,2025,80.62704700702747,82.40307437080237,-1.776027363774901,JEFF
368,2010,100.0,100.00000293659693,-2.936596928293511e-06,JOTR
369,2011,94.25469336268092,99.48658800132853,-5.231894638647603,JOTR
370,2012,94.97197175937546,103.6217999763564,-8.649828216980936,JOTR
371,2013,100.70601561343553,101.13007553775104,-0.42405992431551454,JOTR
372,2014,109.28471672491133,105.71873854305592,3.5659781818554137,JOTR
373,2015,142.69270622156148,126.43444177070215,16.25826445085933,JOTR
374,2016,181.82186781997567,173.10833710539126,8.713530714584408,JOTR
375,2017,176.95151854497712,180.51129645437956,-3.5597779094024418,JOTR
376,2018,185.07069809948578,185.34973412200762,-0.27903602252183646,JOTR
377,2019,195.5614980145322,185.8461370928169,9.715360921715302,JOTR
378,2020,203.97704966565624,119.9217738772697,84.05527578838654,JOTR
379,2021,190.83080725194523,136.37437972312856,54.456427528816675,JOTR
380,2022,191.1188127095682,147.35363727709262,43.76517543247559,JOTR
381,2023,226.1164636147742,158.7579740941322,67.358489520642,JOTR
382,2024,191.73762220119838,153.86783343000826,37.869788771190116,JOTR
383,2025,188.80575882197724,121.08255992171256,67.72319890026468,JOTR
384,2010,100.0,100.00000061900406,-6.190040551246057e-07,KICA
385,2011,91.33580368202982,95.27035128570294,-3.934547603673124,KICA
386,2012,95.33312331809833,89.96731470567329,5.365808612425042,KICA
387,2013,96.90903848618171,96.80097405571772,0.1080644304639975,KICA
388,2014,81.00225321430096,83.60422791704048,-2.6019747027395113,KICA
389,2015,73.52980436546922,80.19445980893046,-6.664655443461243,KICA
390,2016,101.10631754303532,97.84547934615667,3.2608381968786517,KICA
391,2017,113.44747127418735,109.36367407138634,4.0837972028010086,KICA
392,2018,111.69802656870702,107.98918893240504,3.708837636301979,KICA
393,2019,103.38809747554569,111.20714421585612,-7.8190467403104265,KICA
394,2020,80.42746999273845,80.4312504102743,-0.0037804175358502334,KICA
395,2021,86.40756481995643,118.1232359870968,-31.71567116714037,KICA
396,2022,103.086156080475,119.63899036598718,-16.552834285512176,KICA
397,2023,108.03388364444064,133.11068125143842,-25.076797606997786,KICA
398,2024,110.42458673273248,124.68890767241732,-14.264320939684836,KICA
399,2025,120.7949788560933,131.20513853123828,-10.410159675144982,KICA
400,2010,100.0,100.0000002284735,-2.284734961222057e-07,LAVO
401,2011,95.7493459842175,100.5408048965783,-4.791458912360795,LAVO
